Years,Cyc_count,Severe,Non_severe
1970,10,1,9
1971,18,2,16
1972,17,7,10
1973,12,9,3
1974,19,8,11
1975,16,4,12
1976,16,8,8
1977,15,5,10
1978,9,4,5
1979,11,5,6
1980,14,8,6
1981,13,8,5
1982,14,5,9
1983,9,8,1
1984,19,12,7
1985,17,9,8
1986,15,7,8
1987,7,3,4
1988,5,3,2
1989,13,6,7
1990,13,5,8
1991,10,4,6
1992,10,9,1
1993,8,4,4
1994,11,7,4
1995,6,6,0
1996,14,9,5
1997,15,7,8
1998,9,4,5
1999,14,9,5
2000,13,6,7
2001,8,3,5
2002,9,3,6
2003,8,2,6
2004,10,5,5
2005,11,5,6
2006,12,8,4
2007,5,3,2
2008,10,3,7
2009,10,3,7
2010,8,4,4
2011,10,4,6
2012,7,3,4
2013,9,6,3
2014,10,5,5
2015,8,7,1
2016,3,0,3
2017,9,3,6
2018,11,3,8
2019,11,6,5
2020,8,3,5
2021,8,3,5
2022,10,2,8
2023,7,5,2
2024,8,6,2
