Cyc_Name,Time,SURFACE_CODE,CYC_TYPE,Wind_Speed,LAT,LON,Central_Pressure,Radius
Marcia,2015-02-16T06:00,1,20,<17 m/s,-15,152.3,1000,296
Marcia,2015-02-16T18:00,1,20,<17 m/s,-14.3,155,1000,241
Marcia,2015-02-17T06:00,1,20,<17 m/s,-14.8,155.6,999,278
Marcia,2015-02-17T18:00,1,21,17-24 m/s,-15.6,156.1,996,278
Marcia,2015-02-18T06:00,1,21,17-24 m/s,-17.2,155.3,995,444
Marcia,2015-02-18T18:00,1,30,25-32 m/s,-19.1,153.2,989,426
Marcia,2015-02-19T06:00,1,40,>32 m/s,-20.55,150.85,948,296
Marcia,2015-02-19T18:00,1,40,>32 m/s,-21.6,150.5,932,241
Marcia,2015-02-20T06:00,2,30,25-32 m/s,-23.8,150.6,980,204
Marcia,2015-02-20T18:00,2,20,<17 m/s,-25.4,151.8,999,222
Yasi,2011-01-31T12:00,1,40,>32 m/s,-13.5,160.5,971,407
Yasi,2011-02-01T00:00,1,40,>32 m/s,-14.1,156.7,966,482
Yasi,2011-02-01T12:00,1,40,>32 m/s,-14.9,153.2,940,444
Yasi,2011-02-02T00:00,1,40,>32 m/s,-16.5,149.7,937,370
Yasi,2011-02-02T12:00,1,40,>32 m/s,-17.5,146.8,930,333
Yasi,2011-02-02T18:00,2,40,>32 m/s,-18.5,145,958,500
Yasi,2011-02-03T00:00,2,30,25-32 m/s,-19.3,143.1,984,407
Yasi,2011-02-03T06:00,2,30,25-32 m/s,-20,141.5,994,370
Larry,2006-03-15T00:00,1,20,<17 m/s,-12.5,158,1005,222
Larry,2006-03-16T00:00,1,20,<17 m/s,-14.1,159.7,1002,370
Larry,2006-03-17T00:00,1,20,<17 m/s,-15.2,160,1000,370
Larry,2006-03-18T00:00,1,30,25-32 m/s,-17.2,156.6,985,444
Larry,2006-03-19T00:00,1,40,>32 m/s,-17.7,151.2,970,389
Larry,2006-03-20T00:00,2,40,>32 m/s,-17.5,145.3,965,333
Larry,2006-03-21T00:00,2,20,<17 m/s,-19.4,139.9,1000,167
George,2007-03-04T12:00,2,20,<17 m/s,-14.4,127.3,993,74
George,2007-03-05T12:00,1,30,25-32 m/s,-14.5,124.1,980,93
George,2007-03-06T12:00,1,30,25-32 m/s,-14.6,120.9,978,204
George,2007-03-07T12:00,1,40,>32 m/s,-16.1,119.3,956,333
George,2007-03-08T12:00,1,40,>32 m/s,-19.9,119.1,902,204
George,2007-03-09T12:00,2,30,25-32 m/s,-22.6,120.4,984,370
George,2007-03-10T12:00,2,20,<17 m/s,-24.4,122.3,986,167
George,2007-03-11T12:00,2,20,<17 m/s,-25.9,124.6,994,111
Ingrid,2005-03-05T12:00,1,21,17-24 m/s,-12.3,146.4,1004,222
Ingrid,2005-03-06T12:00,1,40,>32 m/s,-13.6,148.7,975,241
Ingrid,2005-03-07T12:00,1,40,>32 m/s,-14.3,148.4,945,241
Ingrid,2005-03-08T12:00,1,40,>32 m/s,-13.9,146.5,935,259
Ingrid,2005-03-09T12:00,1,40,>32 m/s,-13.3,144.5,960,167
Ingrid,2005-03-10T12:00,4,30,25-32 m/s,-13,141.5,990,148
Ingrid,2005-03-11T12:00,1,40,>32 m/s,-12.1,137.8,944,222
Ingrid,2005-03-12T12:00,1,40,>32 m/s,-11.4,133.9,924,167
Ingrid,2005-03-13T12:00,2,40,>32 m/s,-11.4,130.8,964,130
Ingrid,2005-03-14T12:00,1,40,>32 m/s,-12,128.7,946,167
Ingrid,2005-03-15T12:00,1,40,>32 m/s,-13.8,127.1,940,111
Ingrid,2005-03-16T12:00,2,30,25-32 m/s,-15,127.4,983,167
Monica,2006-04-16T00:00,1,20,<17 m/s,-9.5,152.5,1003,185
Monica,2006-04-17T00:00,1,30,25-32 m/s,-12.3,150.5,994,278
Monica,2006-04-18T00:00,1,30,25-32 m/s,-12.7,147.5,980,278
Monica,2006-04-19T00:00,1,40,>32 m/s,-13,144.3,965,278
Monica,2006-04-20T00:00,4,30,25-32 m/s,-13.8,141.3,990,296
Monica,2006-04-21T00:00,1,40,>32 m/s,-13.5,140.1,971,278
Monica,2006-04-22T00:00,1,40,>32 m/s,-12.6,139.4,947,370
Monica,2006-04-23T00:00,1,40,>32 m/s,-11.4,138,929,333
Monica,2006-04-24T00:00,1,40,>32 m/s,-11.4,135.2,919,296
Monica,2006-04-25T00:00,4,20,<17 m/s,-12.5,131.4,998,333
Monica,2006-04-26T00:00,1,20,<17 m/s,-13.2,129.6,996,222
Monica,2006-04-27T00:00,2,20,<17 m/s,-15.4,130.8,1004,333
